method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
rgta_eff,kiva,60,9,0,2600,766.8877078102815,2603.796346729828,10217.244359781034,50.83206149144793,3.9221667407988616,1000,2600
rgta_eff,kiva,60,9,1,2600,761.9780378773594,2612.6420053428965,10264.332698774524,51.06633183469913,3.9266766253919374,1000,2600
rgta_eff,kiva,60,9,2,2600,754.8496110662472,2796.674750375103,10272.085000528023,51.104900500139415,3.6712240888234535,1000,2600
rgta_eff,kiva,60,9,3,2600,770.7633386799364,2568.723793551798,10327.638745773584,51.38128729240589,4.018536476954702,1000,2600
rgta_eff,kiva,60,9,4,2600,768.3313143799228,2702.7490335814905,10315.564980381168,51.32121880786651,3.8149278773598994,1000,2600
