method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,sorting,80,9,0,2600,972.9761538461538,3046.0,5660.997632658109,28.16416732665726,1.857892232575684,1000,2600
rgta_eff,sorting,80,9,0,2600,753.2942307692308,2896.0,11626.022544689476,57.84090818253471,4.013124799685701,1000,2600
tp_tsp,sorting,80,9,1,2600,959.8973076923077,2860.0,5681.187026086263,28.26461207008091,1.9857347172618887,1000,2600
rgta_eff,sorting,80,9,1,2600,728.6407692307693,2702.0,11746.138329384848,58.4384991511684,4.345593166624066,1000,2600
tp_tsp,sorting,80,9,2,2600,975.0288461538462,2972.0,5674.435561639257,28.23102269472267,1.9086564284020373,1000,2600
rgta_eff,sorting,80,9,2,2600,760.3380769230769,2952.0,11716.57477132976,58.29141677278488,3.9676853272366275,1000,2600
tp_tsp,sorting,80,9,3,2600,960.6803846153846,2898.0,5643.51023780182,28.07716536219811,1.9467092921013522,1000,2600
rgta_eff,sorting,80,9,3,2600,735.3734615384616,2726.0,11757.155802217312,58.493312448842346,4.311388266306312,1000,2600
tp_tsp,sorting,80,9,4,2600,976.0457692307692,2930.0,5689.685240620747,28.306891744381826,1.9412095669125715,1000,2600
rgta_eff,sorting,80,9,4,2600,746.4269230769231,2752.0,11635.360474698246,57.887365545762414,4.226429522229657,1000,2600
