method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
marginal,kiva,80,9,0,2600,626.9884475964382,2744.47476943684,11782.759986817837,58.620696451830035,4.290881277064034,1000,2600
sequential,kiva,80,9,0,2600,808.2850816403752,2888.854131697039,5352.684532292187,26.630271304936254,1.852139976571691,1000,2600
marginal,kiva,80,9,1,2600,606.5825534496126,2572.22472532289,11810.72196632158,58.7598107777193,4.588470072386007,1000,2600
sequential,kiva,80,9,1,2600,810.6905927604353,2810.7304218203635,5354.943989776075,26.641512386945646,1.904318630788078,1000,2600
marginal,kiva,80,9,2,2600,602.6811926733715,2429.9222613727925,11845.530926482752,58.93298968399379,4.872698859104382,1000,2600
sequential,kiva,80,9,2,2600,806.7898280717757,3042.3920984124607,5391.370718134567,26.822739891216752,1.7711467536578736,1000,2600
marginal,kiva,80,9,3,2600,619.9234425163006,2706.8029633701613,11883.19583714474,59.12037729922756,4.388181623760982,1000,2600
sequential,kiva,80,9,3,2600,804.8605259076046,3234.719672304059,5392.18449278269,26.826788521306913,1.6663116479550957,1000,2600
marginal,kiva,80,9,4,2600,610.3391726102955,2571.6844477960854,11866.280376096256,59.03622077659829,4.611846240223962,1000,2600
sequential,kiva,80,9,4,2600,798.0026900091634,2978.9123387597783,5415.312008699402,26.941850789549264,1.8172187948655711,1000,2600
