method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,kiva,60,6,0,2600,892.89,2604.0,1411.569733871147,3.520124024616327,0.5418693796050469,1300,2600
rgta_eff,kiva,60,6,0,2600,726.1138461538461,2399.0,5148.211452062242,18.58560090997199,2.145088105025934,1300,2600
tp_tsp,kiva,60,6,1,2600,889.9415384615385,2552.0,1403.209169395268,3.430829265025105,0.5496314803741746,1300,2600
rgta_eff,kiva,60,6,1,2600,714.4369230769231,2330.0,5180.989558575675,18.97798373104643,2.2226467432757078,1300,2600
tp_tsp,kiva,60,6,2,2600,889.373076923077,2546.0,1418.470732634887,3.5285341607833014,0.5569182303238661,1300,2600
rgta_eff,kiva,60,6,2,2600,716.0230769230769,2282.0,5174.173773499206,19.599143081436385,2.2663923668415267,1300,2600
tp_tsp,kiva,60,6,3,2600,896.4015384615385,2622.0,1445.8382432349026,3.4589431656337384,0.5512154949427764,1300,2600
rgta_eff,kiva,60,6,3,2600,723.9246153846154,2314.0,5224.769850727171,18.930325546112936,2.256920021912385,1300,2600
tp_tsp,kiva,60,6,4,2600,886.6169230769231,2592.0,1437.8653534222394,3.6309731147026247,0.5545180691948475,1300,2600
rgta_eff,kiva,60,6,4,2600,717.376923076923,2302.0,5236.746335285716,19.395356797354502,2.273880301904349,1300,2600
