method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,kiva,100,6,0,2600,539.2361538461538,2264.0,1457.0621002931148,7.249065175587636,0.643294525515724,1300,2600
rgta_eff,kiva,100,6,0,2600,404.11,2114.0,6775.686920620501,33.70988517721642,3.2036344778347523,1300,2600
tp_tsp,kiva,100,6,1,2600,538.2461538461539,2282.0,1465.8318605506793,7.292695823635221,0.6420638898601311,1300,2600
rgta_eff,kiva,100,6,1,2600,391.8823076923077,2136.0,6788.6701032985,33.77447812586318,3.1767291077671973,1300,2600
tp_tsp,kiva,100,6,2,2600,538.2515384615384,2250.0,1473.303628154099,7.329868796786562,0.6545107188601061,1300,2600
rgta_eff,kiva,100,6,2,2600,396.33153846153846,2142.0,6814.8450524313375,33.90470175338974,3.1800490211998773,1300,2600
tp_tsp,kiva,100,6,3,2600,540.4630769230769,2192.0,1479.4171031098813,7.360284095074036,0.6746088021476887,1300,2600
rgta_eff,kiva,100,6,3,2600,406.3292307692308,2218.0,6859.1800207505,34.125273735077116,3.0911131233666067,1300,2600
tp_tsp,kiva,100,6,4,2600,537.4992307692307,2286.0,1473.4001978067681,7.330349242819742,0.6442501958053206,1300,2600
rgta_eff,kiva,100,6,4,2600,398.85615384615386,2106.0,6922.394554479979,34.43977390288547,3.2854269361556616,1300,2600
