method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,sorting,40,6,0,2600,2293.7838461538463,5380.0,2778.3976848004386,3.27255322120193,0.5163348234158035,1300,2600
rgta_eff,sorting,40,6,0,2600,2081.4707692307693,5096.0,4567.381253582425,5.737916147716615,0.8960920646620415,1300,2600
tp_tsp,sorting,40,6,1,2600,2258.3676923076923,5374.0,2860.9613402513787,3.288461310633769,0.5322718772560705,1300,2600
rgta_eff,sorting,40,6,1,2600,2049.1446153846155,5152.0,4594.50622193981,5.771992741130414,0.8916177414981195,1300,2600
tp_tsp,sorting,40,6,2,2600,2281.622307692308,5422.0,2839.2502032220364,3.3091494210047045,0.5235571092056125,1300,2600
rgta_eff,sorting,40,6,2,2600,2073.92,5044.0,4596.50914487429,5.760036522398859,0.9111019117689375,1300,2600
tp_tsp,sorting,40,6,3,2600,2271.0015384615385,5410.0,2804.231933550909,3.2683355868891715,0.5182465225560726,1300,2600
rgta_eff,sorting,40,6,3,2600,2049.8584615384616,5118.0,4592.078535701148,5.776199415976287,0.8970655471188022,1300,2600
tp_tsp,sorting,40,6,4,2600,2296.3146153846155,5498.0,2837.2941606212407,3.3068696510737072,0.5159654774724933,1300,2600
rgta_eff,sorting,40,6,4,2600,2076.5,5100.0,4577.037351788022,5.685760685450958,0.8972823665532291,1300,2600
