method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
marginal,kiva,60,9,0,2600,757.7371986092993,2648.5755091434667,10309.823001851328,51.29265175050412,3.890499245981633,1000,2600
sequential,kiva,60,9,0,2600,1042.9817295496887,3125.4043305458185,4963.99328764528,23.638063274501334,1.5874618764455646,999,2600
marginal,kiva,60,9,1,2600,735.4191459656575,2640.369920893322,10421.280618174933,51.84716725460166,3.944466547378854,1000,2600
sequential,kiva,60,9,1,2600,1019.7841198979706,3009.754556855777,4937.365177669562,24.56400585905255,1.6397758809928802,1000,2600
marginal,kiva,60,9,2,2600,730.9145031195699,2586.1370050007695,10363.804365275428,51.56121574763895,4.00456119214661,1000,2600
sequential,kiva,60,9,2,2600,1037.0015998524896,3219.1099631598277,5048.264839802869,24.991410098034002,1.567297373425293,1000,2600
marginal,kiva,60,9,3,2600,752.3131601416229,2665.5744502897946,10519.900738727301,52.33781462053384,3.9444697183079493,1000,2600
sequential,kiva,60,9,3,2600,1038.854166769685,3097.7257258752593,5039.579742355272,24.948414566115208,1.626195463812608,1000,2600
marginal,kiva,60,9,4,2600,743.3247141462303,2540.8020972874324,10477.512795478106,52.12692933073684,4.1217595576231725,1000,2600
sequential,kiva,60,9,4,2600,1034.8941343520662,3012.4865699641846,4992.335201590322,24.35285464190401,1.6563819514234646,999,2600
