method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
marginal,sorting,60,6,0,2600,2184.889666984468,5456.689443181719,8027.434221585281,10.99648523504833,1.470764789590561,1300,2600
sequential,sorting,60,6,0,2600,2570.105336989893,6194.740491079073,3965.1603975798935,5.279840742449925,0.6399548737217388,1300,2600
marginal,sorting,60,6,1,2600,2134.3403650760415,5428.817742792859,8081.714189727791,11.334802510137154,1.488345154646002,1300,2600
sequential,sorting,60,6,1,2600,2516.482164737915,5968.938348162959,3970.6463551847264,5.266109224382927,0.6650998919907415,1300,2600
marginal,sorting,60,6,2,2600,2175.286299414243,5622.344325219225,8187.718015164137,11.48347547708855,1.4558531321415606,1300,2600
sequential,sorting,60,6,2,2600,2546.5963157596257,6097.894894877879,3945.902048726566,5.2125522440245255,0.6469752498321965,1300,2600
marginal,sorting,60,6,3,2600,2153.2249134979224,5436.494093910034,8204.327435116284,11.269680542742147,1.5087030958286656,1300,2600
sequential,sorting,60,6,3,2600,2515.5264650070626,5882.100251011069,3919.503526063636,5.205183965555958,0.6661290832874976,1300,2600
marginal,sorting,60,6,4,2600,2178.4566890785645,5584.3931971019,7991.176083567552,11.30293646897815,1.4305721596075103,1300,2600
sequential,sorting,60,6,4,2600,2536.0963922818114,5920.154419687124,3874.5552074396983,5.166073609919597,0.6542646415804961,1300,2600
