method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
rgta_eff,sorting,60,9,0,2600,1801.364527983901,4812.303312420986,12597.152888192795,35.58517765026213,2.616774592478769,970,2600
rgta_eff,sorting,60,9,1,2600,1781.3637267792358,4810.4999880212235,12799.46444381494,37.09989693859403,2.6599053291385997,971,2600
rgta_eff,sorting,60,9,2,2600,1813.2962663626874,5367.776770507188,12876.635166932829,36.685570276161904,2.3983302601849186,970,2600
rgta_eff,sorting,60,9,3,2600,1782.8262219788726,5072.524593595335,12722.913422505371,36.14464040484481,2.5074720974586855,970,2600
rgta_eff,sorting,60,9,4,2600,1816.1411730526636,4919.280812016583,12613.542751874775,35.73241572769058,2.563207224522409,970,2600
