method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,sorting,100,9,0,2600,812.0403846153846,2932.0,5691.087699960917,28.313869154034414,1.9403640299900844,1000,2600
rgta_eff,sorting,100,9,0,2600,656.6676923076923,2758.0,12334.500061930157,61.36567194990128,4.470641559235287,1000,2600
tp_tsp,sorting,100,9,1,2600,795.4473076923077,2903.0,5790.807459386997,28.809987360134315,1.9940797036456601,1000,2600
rgta_eff,sorting,100,9,1,2600,669.8461538461538,2782.0,12221.493950113654,60.80345248812763,4.3914818361888805,1000,2600
tp_tsp,sorting,100,9,2,2600,810.1730769230769,2957.0,5734.287637169473,28.528794214773498,1.9385691809227428,1000,2600
rgta_eff,sorting,100,9,2,2600,668.5830769230769,2916.0,12127.667049295269,60.33665198654363,4.1575821218016005,1000,2600
tp_tsp,sorting,100,9,3,2600,808.5446153846154,2860.0,5735.716352704912,28.535902252263245,2.004794251207589,1000,2600
rgta_eff,sorting,100,9,3,2600,635.4338461538462,2744.0,12292.351046926342,61.1559753578425,4.478087813087921,1000,2600
tp_tsp,sorting,100,9,4,2600,800.6465384615385,2846.0,5789.191495161504,28.801947737121907,2.033435720112927,1000,2600
rgta_eff,sorting,100,9,4,2600,635.146923076923,2820.0,12213.325912831351,60.76281548672314,4.329431376402464,1000,2600
