method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,kiva,80,6,0,2600,673.3761538461539,2259.0,1377.4861487327144,6.853164919068231,0.6095071454569533,1300,2600
rgta_eff,kiva,80,6,0,2600,574.8092307692308,2186.0,6160.415096208453,30.648831324420165,2.816833605948081,1300,2600
tp_tsp,kiva,80,6,1,2600,672.54,2338.0,1407.035984331742,7.000179026526079,0.6015545037758623,1300,2600
rgta_eff,kiva,80,6,1,2600,572.4061538461539,2176.0,6213.258440955542,30.91173353709225,2.8540461373245485,1300,2600
tp_tsp,kiva,80,6,2,2600,666.8315384615385,2314.0,1402.4317167932168,6.977272222851825,0.6058020374916703,1300,2600
rgta_eff,kiva,80,6,2,2600,571.1576923076923,2174.0,6198.5383067512885,30.838499038563626,2.8499026697707075,1300,2600
tp_tsp,kiva,80,6,3,2600,670.9707692307692,2250.0,1379.39967692364,6.862684959819105,0.6127941701126789,1300,2600
rgta_eff,kiva,80,6,3,2600,573.5176923076923,2188.0,6189.016231917776,30.791125531929236,2.8273258254535296,1300,2600
tp_tsp,kiva,80,6,4,2600,666.2576923076923,2235.0,1412.9600983578712,7.029652230636175,0.6319141763675631,1300,2600
rgta_eff,kiva,80,6,4,2600,568.29,2127.0,6189.344892743975,30.792760660417784,2.908526735312018,1300,2600
