method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
marginal,sorting,40,6,0,2600,3595.1430751958337,8434.228741907136,6485.073988791555,6.223679451815312,0.768738026172541,1300,2600
sequential,sorting,40,6,0,2600,3845.3307110077467,8822.021287274136,3775.4039257997647,3.60592543056329,0.4278562925883686,1300,2600
marginal,sorting,40,6,1,2600,3499.9708373721787,8389.917365273379,6610.356256365776,6.368358628483406,0.7877912354148225,1300,2600
sequential,sorting,40,6,1,2600,3774.605894754395,8663.071690472763,3737.8298062831163,3.5802967493133298,0.4313710105346932,1300,2600
marginal,sorting,40,6,2,2600,3586.7566697832076,8586.144381010059,6665.917784674093,6.3727703486368,0.7761897746476587,1300,2600
sequential,sorting,40,6,2,2600,3839.3788292996046,8853.516808575343,3770.3180940588936,3.6045106061748506,0.4257840874148948,1300,2600
marginal,sorting,40,6,3,2600,3502.195930872588,8338.766807982476,6622.641527908854,6.367924546066206,0.7940817179746827,1300,2600
sequential,sorting,40,6,3,2600,3798.4167125769964,8803.296362070289,3815.4131192713976,3.6546102675013388,0.43332346612963063,1300,2600
marginal,sorting,40,6,4,2600,3586.2150926692843,8694.536095560386,6628.451402997598,6.404300872461447,0.7622414216878562,1300,2600
sequential,sorting,40,6,4,2600,3876.1262248170815,8956.71749184606,3668.0784922791645,3.5101229591188177,0.4094751610045953,1300,2600
