method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,kiva,60,9,0,2600,743.1657692307692,2336.0,4105.059955851175,20.423183859956094,1.7565511150411532,1000,2600
rgta_eff,kiva,60,9,0,2600,553.7757692307692,2258.0,9624.541579280049,47.88329143920422,4.260531907605157,1000,2600
tp_tsp,kiva,60,9,1,2600,739.4588461538461,2332.0,4192.038013017736,20.85591051252605,1.7968444119235905,1000,2600
rgta_eff,kiva,60,9,1,2600,545.4603846153847,2222.0,9784.503012895584,48.67911946714221,4.4014858357604965,1000,2600
tp_tsp,kiva,60,9,2,2600,740.17,2403.0,4147.791330469772,20.635777763531205,1.7253707697461615,1000,2600
rgta_eff,kiva,60,9,2,2600,547.3365384615385,2268.0,9640.392732806504,47.96215289953484,4.248740737243942,1000,2600
tp_tsp,kiva,60,9,3,2600,734.2976923076923,2268.0,4174.212263780646,20.767225192938536,1.8396704556106858,1000,2600
rgta_eff,kiva,60,9,3,2600,548.6203846153846,2142.0,9703.55856185779,48.27641075551139,4.528025460502935,1000,2600
tp_tsp,kiva,60,9,4,2600,731.9492307692308,2318.0,4153.791227960028,20.66562799980113,1.7911993221043674,1000,2600
rgta_eff,kiva,60,9,4,2600,549.0184615384616,2232.0,9621.341291465797,47.86736960928257,4.308706355336228,1000,2600
