method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,sorting,80,6,0,2600,1124.093076923077,3055.0,2587.2060785768554,12.089748030732968,0.8465988477018506,1300,2600
rgta_eff,sorting,80,6,0,2600,926.016923076923,2716.0,6153.87996006757,30.616318209291393,2.2649539786777955,1300,2600
tp_tsp,sorting,80,6,1,2600,1105.553076923077,3076.0,2591.730977059342,12.225146118204444,0.8422915102565297,1300,2600
rgta_eff,sorting,80,6,1,2600,906.1,2694.0,6125.5104809533805,30.475176522156122,2.2729166905207348,1300,2600
tp_tsp,sorting,80,6,2,2600,1123.7146153846154,3001.0,2669.489717343822,12.474251015625336,0.889237081060567,1300,2600
rgta_eff,sorting,80,6,2,2600,921.9707692307692,2772.0,6141.19339059107,30.55320094821428,2.214638799347663,1300,2600
tp_tsp,sorting,80,6,3,2600,1110.7238461538461,2981.0,2685.6277239276096,12.788703447274331,0.900612918822136,1300,2600
rgta_eff,sorting,80,6,3,2600,918.6353846153846,2758.0,6204.938631737605,30.870341451430868,2.2489810191147535,1300,2600
tp_tsp,sorting,80,6,4,2600,1122.556923076923,3043.0,2635.6053919298574,12.315913046401203,0.865836199714145,1300,2600
rgta_eff,sorting,80,6,4,2600,925.06,2724.0,6274.128690594807,31.214570599974166,2.302432547007269,1300,2600
