method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
marginal,sorting,40,9,0,2600,2841.507287452034,6858.413441712794,11877.207434852608,18.793049738690836,1.7313713461884268,914,2600
sequential,sorting,40,9,0,2600,3327.399720748697,7613.133016213968,8328.21066339966,12.911954516898696,1.093658655732063,912,2600
marginal,sorting,40,9,1,2600,2777.966833030419,6835.3081330987125,11940.61833503656,18.863536074307362,1.746470430749826,914,2600
sequential,sorting,40,9,1,2600,3209.4525563501734,7196.448331694952,8333.799333777279,13.001247010572978,1.1577937390632507,912,2600
marginal,sorting,40,9,2,2600,2834.494677070601,6768.764148884194,11990.772734046914,19.06323169164851,1.7711628853835915,914,2600
sequential,sorting,40,9,2,2600,3299.093667157958,7444.304936406162,8336.956245359033,13.02649413337349,1.1196556869942296,912,2600
marginal,sorting,40,9,3,2600,2782.6579708179424,6835.865111418049,11894.192818901502,18.879671141113494,1.7396800963728978,914,2600
sequential,sorting,40,9,3,2600,3259.991879467983,7614.096491930887,8274.191295611672,12.8881484355322,1.0864221764195998,912,2600
marginal,sorting,40,9,4,2600,2846.59789878853,7041.4856432105025,11907.819390995428,18.96149584553412,1.6907311360209325,915,2600
sequential,sorting,40,9,4,2600,3237.2683685706584,7388.371280398745,8310.717833344825,13.005818205547456,1.124589693280761,912,2600
