method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
marginal,kiva,100,9,0,2600,465.39111428374684,2491.9566025519966,12205.826141987927,60.725503193969786,4.896039367022835,1000,2600
sequential,kiva,100,9,0,2600,619.2597745766299,2701.9996423198304,5644.126629689708,28.08023198850601,2.0880971622973394,1000,2600
marginal,kiva,100,9,1,2600,446.12330308669436,2630.0152403604584,12305.292798089795,61.220362179551216,4.675263221158737,1000,2600
sequential,kiva,100,9,1,2600,631.1925085546093,2718.030655277888,5648.376632016152,28.101376278687326,2.0766090558882913,1000,2600
marginal,kiva,100,9,2,2600,452.46937154406925,2622.2125324939084,12411.15663049277,61.74704791289935,4.729861520767061,1000,2600
sequential,kiva,100,9,2,2600,637.5202531705156,2967.9177739995666,5643.51906592492,28.077209283208557,1.9008147746463187,1000,2600
marginal,kiva,100,9,3,2600,457.52683190874757,2452.839908423769,12389.248842722736,61.638053943894214,5.048593660441213,1000,2600
sequential,kiva,100,9,3,2600,632.6817838936955,2644.883385011979,5785.214205505326,28.78216022639466,2.186399926494832,1000,2600
marginal,kiva,100,9,4,2600,453.05009498072127,2506.1532264929956,12370.971706346609,61.547122917147306,4.93260434862305,1000,2600
sequential,kiva,100,9,4,2600,628.8475216624663,2773.6299736237693,5746.811254648492,28.59110076939548,2.0709229746481053,1000,2600
