method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
marginal,kiva,100,6,0,2600,487.25718147645796,2506.993110182614,7753.740327665582,38.575822525699415,3.091603001461556,1300,2600
sequential,kiva,100,6,0,2600,700.3608241453334,2569.344312581702,2045.4234009375796,10.176235825560097,0.7955750295362036,1300,2600
marginal,kiva,100,6,1,2600,477.2240941180768,2424.961308928723,8114.132108283229,40.368816459120545,3.344654620067283,1300,2600
sequential,kiva,100,6,1,2600,698.1788340304561,2629.0708690889696,2064.9431680794805,10.27334909492279,0.7848510711058458,1300,2600
marginal,kiva,100,6,2,2600,482.5062601234431,2358.278167053263,7752.495451481082,38.569629111846176,3.2849556997801193,1300,2600
sequential,kiva,100,6,2,2600,685.5531141336405,2689.188803718176,2058.892768807709,10.243247606008504,0.765103221407547,1300,2600
marginal,kiva,100,6,3,2600,492.29078992894466,2388.46616554622,7810.24702754803,38.856950385811096,3.2678857855849497,1300,2600
sequential,kiva,100,6,3,2600,688.7636018044774,2687.3922818628753,2070.5498683964834,10.301243126350663,0.7700073887677513,1300,2600
marginal,kiva,100,6,4,2600,483.9822549873468,2330.899726481805,7757.853273651563,38.59628494354011,3.3266952288385774,1300,2600
sequential,kiva,100,6,4,2600,698.2780238796507,2855.6603755315664,2068.7178887892514,10.292128799946525,0.7240874654495105,1300,2600
